id,domain,task_difficulty,time_to_reward_days,past_failure_loops,self_efficacy_score,emotional_valence,social_pressure,task_clarity,time_available_hrs,distraction_level,perfectionism_score,reward_proximity,failure_weight,clarity_gap,delay_score,delay_label,primary_delay_cause,nudge_recommendation,acted
2911,Career Choice,1.34,282.8,3,3.46,0.64,2.64,6.09,2.28,8.38,1.1,0.0035,1.962,3.91,40.16,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2912,Creative Project,8.3,270.3,8,1.31,3.28,6.92,5.11,2.21,4.89,6.02,0.0037,6.952,4.89,78.4,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2913,Creative Project,6.56,199.7,5,6.14,-4.59,2.58,6.48,1.83,3.75,6.99,0.005,1.93,3.52,61.47,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2914,Creative Project,1.14,226.6,7,9.37,4.97,4.43,4.88,2.07,2.71,7.85,0.0044,0.441,5.12,29.31,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2915,Health Checkup,3.59,148.6,6,6.44,3.78,8.06,2.76,0.8,9.44,9.7,0.0067,2.136,7.24,49.5,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2916,Finance,2.25,357.9,6,2.11,4.89,6.72,4.38,3.23,6.24,1.13,0.0028,4.734,5.62,56.82,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2917,Creative Project,4.49,222.4,7,9.62,-4.15,7.59,4.48,4.67,5.86,4.92,0.0045,0.266,5.52,44.61,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2918,Studying,3.78,190.8,4,8.27,-1.0,5.48,9.26,5.99,7.08,5.35,0.0052,0.692,0.74,22.62,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2919,Fitness,2.12,135.2,2,8.55,2.46,8.22,3.66,1.16,9.07,8.4,0.0073,0.29,6.34,26.76,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2920,Finance,9.57,75.7,11,9.44,-1.78,2.74,9.65,2.21,4.07,7.68,0.013,0.616,0.35,52.5,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
2921,Fitness,1.01,117.5,8,8.54,-1.91,3.9,1.56,1.28,4.26,8.64,0.0084,1.168,8.44,36.72,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2922,Career Choice,7.95,3.5,5,9.17,3.97,3.3,7.91,1.33,2.07,3.45,0.2222,0.415,2.09,18.24,Low,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,1
2923,Finance,1.15,223.8,9,3.07,1.64,2.42,2.14,4.38,2.11,6.44,0.0044,6.237,7.86,51.83,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2924,Studying,9.29,211.4,4,9.0,-2.74,1.09,8.33,5.48,6.77,1.68,0.0047,0.4,1.67,43.68,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2925,Fitness,8.27,196.7,12,5.37,-2.78,6.95,8.2,1.38,8.59,5.19,0.0051,5.556,1.8,71.63,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2926,Finance,6.33,198.8,11,8.86,-4.55,1.49,9.35,2.71,5.78,3.05,0.005,1.254,0.65,61.66,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2927,Studying,5.43,343.2,10,9.11,0.17,5.02,6.88,5.77,8.24,6.1,0.0029,0.89,3.12,60.47,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2928,Studying,8.75,59.8,6,4.09,-0.37,7.72,7.79,2.75,2.95,3.99,0.0164,3.546,2.21,46.06,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
2929,Health Checkup,5.26,354.9,12,9.5,-1.53,1.27,2.92,4.29,5.52,9.55,0.0028,0.6,7.08,74.92,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2930,Studying,2.76,276.5,7,8.42,-3.51,3.11,7.73,0.99,3.9,3.94,0.0036,1.106,2.27,41.79,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2931,Fitness,9.09,354.1,10,6.01,-3.13,0.25,1.41,1.68,4.03,3.07,0.0028,3.99,8.59,100.0,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2932,Creative Project,5.75,186.7,7,2.43,4.87,4.41,5.26,2.43,4.41,1.4,0.0053,5.299,4.74,53.45,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2933,Studying,5.86,354.0,4,3.89,1.96,5.01,1.71,4.07,1.5,5.25,0.0028,2.444,8.29,62.82,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2934,Studying,1.65,307.4,3,7.45,-1.1,3.6,2.71,2.39,7.75,2.23,0.0032,0.765,7.29,34.12,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2935,Studying,1.86,239.2,7,8.57,2.12,9.41,3.31,5.74,2.98,6.72,0.0042,1.001,6.69,24.86,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2936,Fitness,1.14,141.8,4,9.3,-1.45,5.91,8.81,2.45,3.75,7.37,0.007,0.28,1.19,5.72,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2937,Career Choice,3.44,75.1,1,6.36,1.12,4.79,8.3,4.18,4.26,3.04,0.0131,0.364,1.7,11.21,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2938,Studying,8.98,286.8,7,2.48,-0.68,6.15,1.26,0.39,1.41,2.85,0.0035,5.264,8.74,81.5,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2939,Creative Project,3.72,107.8,9,6.4,-1.36,7.11,7.31,4.93,7.45,6.64,0.0092,3.24,2.69,46.16,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2940,Creative Project,5.78,185.2,7,5.61,-4.46,7.11,9.37,5.33,2.04,6.15,0.0054,3.073,0.63,49.01,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2941,Studying,5.49,93.5,7,4.93,4.18,5.15,5.42,1.91,8.81,9.57,0.0106,3.549,4.58,58.38,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2942,Studying,2.93,58.9,2,3.06,1.02,2.64,1.37,5.31,1.12,5.05,0.0167,1.388,8.63,29.13,Low,Ambiguity / Unclear Next Step,Write the very next physical action in one sentence.,0
2943,Creative Project,2.06,114.3,11,8.9,0.25,7.98,6.0,2.03,5.24,8.73,0.0087,1.21,4.0,29.34,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2944,Career Choice,1.06,7.1,6,4.46,3.6,9.82,4.18,0.32,7.05,5.04,0.1235,3.324,5.82,25.95,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
2945,Creative Project,2.25,312.1,8,8.67,-3.8,9.67,8.09,3.96,2.14,6.23,0.0032,1.064,1.91,35.93,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2946,Studying,8.73,184.0,8,2.49,0.56,2.62,4.96,2.7,7.37,2.94,0.0054,6.008,5.04,81.86,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2947,Studying,2.78,4.5,4,7.5,-1.4,5.86,8.55,3.53,6.96,1.33,0.1818,1.0,1.45,4.35,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
2948,Finance,4.61,352.8,0,8.99,0.43,9.89,1.85,1.41,6.88,3.38,0.0028,0.0,8.15,45.2,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2949,Career Choice,5.69,265.5,9,8.9,0.62,1.12,5.69,2.03,8.74,4.9,0.0038,0.99,4.31,66.76,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2950,Fitness,2.39,95.8,1,1.26,-1.11,2.35,6.02,0.76,7.81,1.17,0.0103,0.874,3.98,52.7,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2951,Health Checkup,7.39,342.4,12,4.39,1.26,5.29,1.75,2.61,4.04,4.15,0.0029,6.732,8.25,84.98,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2952,Career Choice,7.64,299.5,12,6.63,-1.28,9.32,2.5,3.83,5.5,7.79,0.0033,4.044,7.5,86.25,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2953,Fitness,2.88,311.5,3,9.19,-1.06,5.76,2.6,2.55,4.85,5.43,0.0032,0.243,7.4,43.29,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2954,Finance,4.29,76.9,12,6.03,-4.28,8.33,3.78,3.04,9.99,1.66,0.0128,4.764,6.22,55.73,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
2955,Career Choice,2.98,297.2,8,1.21,0.48,5.44,3.68,2.74,5.42,2.17,0.0034,7.032,6.32,65.13,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2956,Studying,6.47,5.2,12,5.41,-0.94,3.63,1.25,0.79,1.74,6.49,0.1613,5.508,8.75,56.2,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
2957,Career Choice,3.77,353.0,4,3.55,2.49,4.13,3.26,3.81,7.82,3.35,0.0028,2.58,6.74,70.94,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2958,Health Checkup,6.43,32.2,11,5.72,-1.06,8.0,4.46,4.96,8.41,8.43,0.0301,4.708,5.54,60.62,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
2959,Creative Project,6.45,114.2,10,9.83,1.59,5.71,1.81,5.89,5.33,5.77,0.0087,0.17,8.19,44.25,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2960,Fitness,4.43,224.0,9,4.43,1.66,3.87,2.63,0.46,7.08,2.06,0.0044,5.013,7.37,73.22,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2961,Studying,7.86,167.5,6,3.75,1.75,0.57,5.58,2.47,6.09,9.83,0.0059,3.75,4.42,77.03,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2962,Career Choice,9.2,226.7,7,1.93,3.44,6.46,4.26,4.17,6.56,2.41,0.0044,5.649,5.74,80.5,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2963,Finance,5.2,43.7,10,4.02,1.78,0.96,9.69,4.14,2.85,8.28,0.0224,5.98,0.31,49.92,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
2964,Creative Project,8.53,151.3,9,4.82,-1.6,5.08,7.19,5.24,7.18,4.78,0.0066,4.662,2.81,62.66,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2965,Fitness,1.31,276.1,5,7.06,-0.26,9.42,5.51,5.92,5.31,8.47,0.0036,1.47,4.49,28.08,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2966,Health Checkup,3.64,78.0,11,9.24,4.93,4.11,3.44,3.1,2.51,2.81,0.0127,0.836,6.56,27.76,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
2967,Finance,4.56,180.1,6,8.97,2.65,3.51,4.54,5.26,3.37,4.01,0.0055,0.618,5.46,25.94,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2968,Finance,6.9,141.7,9,3.33,0.83,2.65,4.98,0.7,4.18,6.66,0.007,6.003,5.02,63.58,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2969,Creative Project,3.15,311.7,4,8.77,1.48,7.17,2.17,0.39,4.28,4.98,0.0032,0.492,7.83,50.31,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2970,Studying,6.4,2.5,11,3.46,3.32,5.24,4.59,5.3,6.78,3.33,0.2857,7.194,5.41,57.3,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
2971,Fitness,3.13,293.8,5,3.52,3.67,0.33,9.71,3.27,4.37,5.79,0.0034,3.24,0.29,52.73,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2972,Studying,7.56,136.0,6,6.22,-3.13,6.07,3.23,3.7,3.73,7.66,0.0073,2.268,6.77,65.09,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2973,Fitness,7.27,101.4,12,1.26,-2.79,2.09,9.71,5.28,1.79,1.01,0.0098,10.488,0.29,59.88,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
2974,Finance,2.97,296.0,11,3.32,-4.71,1.03,8.22,5.31,4.67,5.65,0.0034,7.348,1.78,68.88,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2975,Health Checkup,5.07,212.4,3,2.82,-2.09,3.95,3.53,2.71,7.22,9.98,0.0047,2.154,6.47,75.29,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2976,Finance,8.77,272.3,3,2.97,3.57,1.36,5.37,4.98,6.13,5.27,0.0037,2.109,4.63,67.48,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2977,Fitness,4.02,53.9,0,7.38,2.58,2.84,8.34,0.56,1.8,2.61,0.0182,0.0,1.66,5.75,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2978,Finance,4.93,176.5,8,1.99,3.74,3.28,4.53,5.87,3.36,8.93,0.0056,6.408,5.47,58.32,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2979,Finance,6.09,171.6,8,2.77,-2.64,8.35,4.84,1.77,2.93,3.89,0.0058,5.784,5.16,53.42,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2980,Creative Project,4.34,257.8,7,5.75,-2.9,3.41,9.51,5.49,7.02,7.92,0.0039,2.975,0.49,54.95,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2981,Creative Project,2.65,12.1,12,5.21,2.26,8.61,5.23,2.74,5.23,5.33,0.0763,5.748,4.77,40.25,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
2982,Creative Project,8.62,255.5,10,9.48,4.41,6.0,3.15,4.38,9.3,8.76,0.0039,0.52,6.85,87.32,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2983,Health Checkup,1.99,68.9,7,3.28,0.98,5.88,9.69,5.77,1.92,7.63,0.0143,4.704,0.31,23.53,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
2984,Studying,9.18,91.1,6,9.42,-0.54,3.34,7.24,4.73,1.11,6.21,0.0109,0.348,2.76,31.53,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2985,Fitness,6.65,275.3,10,4.27,3.86,8.19,3.41,3.1,9.69,5.75,0.0036,5.73,6.59,87.84,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2986,Health Checkup,7.13,110.4,8,7.58,0.12,1.96,1.1,1.71,8.57,4.16,0.009,1.936,8.9,60.1,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2987,Studying,4.9,316.2,10,3.56,1.78,8.68,8.9,3.82,5.31,5.63,0.0032,6.44,1.1,56.6,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2988,Health Checkup,1.09,43.4,7,5.99,3.19,2.45,6.97,2.49,9.87,3.21,0.0225,2.807,3.03,31.66,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
2989,Fitness,4.85,271.8,5,7.72,0.03,2.67,3.35,1.79,1.37,6.06,0.0037,1.14,6.65,51.19,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2990,Health Checkup,9.11,363.7,9,2.94,-3.0,1.86,6.63,2.9,8.99,4.92,0.0027,6.354,3.37,100.0,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2991,Creative Project,8.42,56.8,9,6.62,-4.46,7.43,2.43,5.04,6.84,9.09,0.0173,3.042,7.57,70.28,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
2992,Health Checkup,9.53,240.5,6,4.43,-2.81,9.59,8.4,1.2,3.21,8.65,0.0041,3.342,1.6,65.65,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2993,Finance,4.17,353.7,3,1.26,0.97,5.93,8.23,1.83,8.15,1.54,0.0028,2.622,1.77,63.45,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2994,Studying,7.14,76.5,2,1.23,-3.54,9.75,6.48,1.49,6.03,9.29,0.0129,1.754,3.52,52.63,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2995,Fitness,1.2,47.2,1,6.98,0.32,7.0,7.82,4.23,4.46,5.65,0.0207,0.302,2.18,0.0,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2996,Fitness,3.71,319.3,12,7.24,0.67,9.1,1.5,5.77,3.68,3.59,0.0031,3.312,8.5,55.77,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2997,Finance,2.96,188.7,7,7.81,-0.15,4.47,2.84,4.92,9.47,2.35,0.0053,1.533,7.16,51.15,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
2998,Creative Project,3.97,248.3,3,5.74,-3.95,8.58,5.82,3.04,8.74,2.69,0.004,1.278,4.18,42.62,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
2999,Health Checkup,8.83,159.6,4,8.67,0.87,8.68,1.89,2.22,8.84,4.29,0.0062,0.532,8.11,51.46,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3000,Finance,7.17,282.6,12,5.73,2.24,3.37,4.05,0.49,1.48,5.62,0.0035,5.124,5.95,70.71,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3001,Health Checkup,4.81,265.4,9,3.96,-1.97,7.42,5.08,0.84,8.19,1.13,0.0038,5.436,4.92,67.47,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3002,Creative Project,7.86,187.3,4,6.27,-3.85,7.13,3.93,0.43,6.15,6.89,0.0053,1.492,6.07,66.15,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3003,Career Choice,4.66,106.4,3,9.26,-4.73,9.33,4.72,5.6,4.12,4.17,0.0093,0.222,5.28,13.47,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3004,Creative Project,8.2,341.0,5,8.75,0.08,0.78,1.56,4.6,2.21,2.37,0.0029,0.625,8.44,66.74,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3005,Finance,7.98,109.9,12,8.53,1.28,9.34,3.44,3.55,2.62,3.55,0.009,1.764,6.56,48.31,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
3006,Creative Project,2.06,79.5,7,2.34,-2.12,5.87,8.3,3.02,5.23,1.35,0.0124,5.362,1.7,29.76,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
3007,Finance,1.56,104.4,5,9.03,1.0,2.84,8.49,3.52,7.63,5.16,0.0095,0.485,1.51,18.55,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3008,Career Choice,9.3,308.7,1,4.93,-3.67,6.78,4.07,2.68,8.61,2.06,0.0032,0.507,5.93,73.99,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3009,Career Choice,4.28,81.1,0,9.37,2.77,4.31,3.37,4.47,1.19,3.71,0.0122,0.0,6.63,0.0,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3010,Studying,9.2,359.8,7,2.33,-0.17,3.6,8.25,5.67,8.35,9.54,0.0028,5.369,1.75,96.55,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3011,Creative Project,6.65,101.2,7,9.16,1.37,0.49,4.05,5.77,4.03,3.17,0.0098,0.588,5.95,45.57,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3012,Career Choice,4.18,227.4,5,8.99,-1.36,4.35,2.69,0.96,9.93,9.61,0.0044,0.505,7.31,58.62,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3013,Creative Project,2.93,136.5,10,5.35,4.71,7.64,4.73,0.56,8.38,6.51,0.0073,4.65,5.27,52.68,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3014,Fitness,3.71,293.4,9,1.82,0.03,7.59,1.46,1.41,5.26,4.34,0.0034,7.362,8.54,73.08,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3015,Career Choice,7.12,204.3,12,2.43,1.26,5.79,6.25,1.53,6.0,8.98,0.0049,9.084,3.75,90.58,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3016,Health Checkup,7.13,88.9,1,7.01,-0.8,5.24,9.6,5.33,9.85,5.92,0.0111,0.299,0.4,26.06,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3017,Creative Project,7.11,357.5,0,4.32,2.9,5.52,6.37,0.78,4.32,2.84,0.0028,0.0,3.63,53.76,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3018,Fitness,2.46,104.4,0,6.5,-3.1,6.78,3.14,1.5,6.14,3.19,0.0095,0.0,6.86,21.13,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3019,Health Checkup,1.38,332.1,10,7.02,-2.64,5.61,5.03,1.22,6.89,9.57,0.003,2.98,4.97,77.43,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3020,Health Checkup,5.79,77.5,4,3.55,4.39,5.2,7.77,2.62,5.08,4.64,0.0127,2.58,2.23,35.6,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3021,Creative Project,8.94,321.5,12,2.22,-4.92,2.33,5.61,0.78,3.65,7.69,0.0031,9.336,4.39,100.0,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3022,Finance,4.91,175.7,2,7.55,-0.87,2.75,1.27,2.91,6.03,7.9,0.0057,0.49,8.73,52.73,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3023,Studying,7.85,218.9,6,4.66,-0.58,7.85,3.95,0.78,7.24,5.27,0.0045,3.204,6.05,70.97,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3024,Career Choice,3.45,207.0,4,4.49,-0.54,0.88,9.39,1.73,8.34,2.96,0.0048,2.204,0.61,46.37,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3025,Health Checkup,6.55,122.6,1,8.29,-1.7,4.37,3.8,1.08,6.54,1.09,0.0081,0.171,6.2,39.05,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3026,Studying,6.64,289.3,9,7.83,3.47,9.39,8.25,1.79,9.6,4.5,0.0034,1.953,1.75,50.81,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3027,Finance,7.01,295.0,1,9.63,-3.78,9.86,2.64,1.05,8.03,2.31,0.0034,0.037,7.36,43.19,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3028,Creative Project,7.95,230.2,10,2.23,-1.16,4.91,2.67,0.55,5.21,3.07,0.0043,7.77,7.33,88.41,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3029,Creative Project,6.02,98.9,6,7.08,-4.36,5.15,5.43,1.98,8.95,5.69,0.01,1.752,4.57,57.9,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3030,Career Choice,5.46,89.7,4,8.09,-1.72,3.85,8.2,5.36,7.08,5.04,0.011,0.764,1.8,28.69,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3031,Finance,6.87,243.3,12,9.83,3.26,4.6,4.47,4.14,1.49,4.17,0.0041,0.204,5.53,45.79,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3032,Fitness,8.65,48.5,6,6.73,-0.21,4.24,6.75,5.66,3.38,9.71,0.0202,1.962,3.25,42.75,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
3033,Studying,2.49,13.8,6,1.97,4.62,3.55,8.95,4.85,2.6,1.55,0.0676,4.818,1.05,26.3,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
3034,Studying,1.79,250.2,6,4.99,-0.44,1.0,4.32,0.54,3.93,6.68,0.004,3.006,5.68,48.91,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3035,Fitness,6.14,192.8,10,9.5,-4.78,3.4,4.37,0.83,3.01,8.91,0.0052,0.5,5.63,67.35,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3036,Health Checkup,3.88,198.6,10,3.37,-3.12,1.86,2.67,3.49,8.81,5.28,0.005,6.63,7.33,86.68,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3037,Finance,4.7,363.2,2,8.69,1.72,6.92,1.43,1.86,2.86,5.93,0.0027,0.262,8.57,47.65,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3038,Fitness,4.62,335.9,11,8.2,1.16,0.77,8.41,0.5,4.27,2.14,0.003,1.98,1.59,62.26,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3039,Fitness,5.76,127.9,10,8.01,4.18,5.8,7.9,2.33,6.39,4.0,0.0078,1.99,2.1,40.53,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3040,Studying,5.26,256.8,5,6.55,-0.71,9.57,8.22,1.49,9.13,5.53,0.0039,1.725,1.78,42.95,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3041,Studying,1.4,343.9,0,6.65,-0.21,8.97,7.48,0.96,1.36,1.69,0.0029,0.0,2.52,17.18,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3042,Health Checkup,7.76,327.5,2,1.98,0.5,4.56,4.05,5.63,8.41,1.99,0.003,1.604,5.95,75.87,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
3043,Finance,3.15,304.6,0,3.55,-4.17,1.26,3.54,4.85,2.62,4.82,0.0033,0.0,6.46,51.85,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
3044,Career Choice,4.58,16.3,3,2.81,-4.14,4.14,4.2,3.18,4.77,2.31,0.0578,2.157,5.8,46.65,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,1
